company name,location,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
ABERLE Stahlguss GmbH,Hornberg,NA,NA,"840.612,00","908.040,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/ABERLE_Stahlguss_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Mannstaedt GmbH,Troisdorf,"33.555.002,29","37.570.526,81",31.12.2021,31.12.2020,01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Mannstaedt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Erich Ulrich GmbH & Co. KG,Bad Dürrheim,NA,NA,"411.018,00","455.504,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Erich_Ulrich_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Rolf Körner GmbH,Niederzier,"309.580,00","301.238,00","550.943,00","554.273,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Rolf_Koerner_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Schubert & Salzer GmbH,Ingolstadt,NA,NA,NA,NA,-,-,
Auerhammer Metallwerk GmbH,Aue-Bad Schlema,"4.029.804,77","3.528.405,68","7.356.073,42","6.984.997,97",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Auerhammer_Metallwerk_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Mannesmann Grossrohr GmbH,Salzgitter,NA,NA,NA,NA,-,-,
Klaus Kuhn Edelstahlgießerei GmbH,Radevormwald,NA,NA,NA,NA,01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Klaus_Kuhn_Edelstahlgiesserei_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Badische Drahtwerke GmbH,Kehl,"3.668.456,22","4.636.438,22","7.365.515,87","7.865.925,87",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Badische_Drahtwerke_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BRUGG German Pipe GmbH,Nordhausen,"2.501.540,66","2.722.474,60","7.099.157,39","6.288.795,74",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/BRUGG_German_Pipe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BRUGG Rohrsysteme GmbH,Wunstorf,"3.691.102,81","4.383.198,14","8.622.260,71","8.949.086,40",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/BRUGG_Rohrsysteme_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
BKB-Profiltechnik GmbH,Sundern (Sauerland),"102.639,00",69,"422.656,00",489,23.02.2022,22.12.2022,bundesanzeiger_local_stahlverarbeitung/BKB-Profiltechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Marsberger Metallguss Gebr. Cordt GmbH,Marsberg,NA,NA,"9.354,00","0,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Marsberger_Metallguss_Gebr._Cordt_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Betafence GmbH,Schwalmtal,"172.636,00","216.641,00","172.636,00","216.641,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Betafence_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ESW Röhrenwerke GmbH,Eschweiler,NA,NA,"0,00","5.265,0",01.07.2021,30.06.2022,bundesanzeiger_local_stahlverarbeitung/ESW_Roehrenwerke_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.07.2021_bis_zum_30.06.2022
Vornbäumen Stahlseile GmbH & Co. KG,Bad Iburg,NA,NA,"1.390.171,30","1.420.171,30",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Vornbaeumen_Stahlseile_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Chr. Höver & Sohn GmbH & Co. KG,Lindlar,"857.748,50","1.251.788,00","5.602.828,23","6.107.210,75",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Chr._Hoever_and_Sohn_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Drölle GmbH,Schwäbisch Hall,"9.278.072,93","166.724,66","4.123.328,50","4.999.502,00",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Droelle_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hammerwerke Haspe,Hagen,"899.778,34","816.222,76","1.190.982,72","1.035.762,06",01.01.2021,31.12.2021,bundesanzeiger_local_stahlverarbeitung/Hammerwerke_Haspe/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
